Species Name,Stats,Basic Information,Evolutions,Size,Breeding Information,Diet,Habitat,Capabilities,Skills,Level Up Moves,TM/HM Moves,Tutor Moves
LEAVANNY,"HP:   8
Attack:  10
Defense:  8
Special Attack: 7
Special Defense: 7
Speed:   9
","[T: Bug, Grass]
[BA: Leaf Gift]
[AA: Silk Threads, Technician , Swarm ]
[HA: Fashion Designer   ]","1: Sewaddle   
2: Swadloon Minimum 15   
3: Leavanny Minimum 30   
","Height: 3’ 11”
Weight: 45.2 lbs.","Gender Ratio: 50%
Egg Group: Bug

Average Hatch Rate: 10 Days
 
  
",Herbivore,Forest,"
  Overland 7
Swim 4
Jump 2/2
Power 3

 Naturewalk (Grassland, Forest)
Threaded
Wall-climber","
Athl 3d6+2
Acro 4d6+2
Combat 2d6+2
Stealth 
4d6+2
Percep 3d6
Focus 4d6"," 8  Bug Bite - Bug
 15  Razor Leaf - Grass
 22  Struggle Bug - Bug
 30  Slash - Normal
 32  Helping Hand - Normal
 34  Fell Stinger - Bug
 36  Leaf Blade - Grass
 39  X-Scissor - Bug
 43  Entrainment - Normal
 46  Swords Dance - Normal
 50  Leaf Storm - Grass"," 
 A1 Cut, 01 Hone Claws, 04 Calm Mind, 06 
Toxic, 10 Hidden Power, 11 Sunny Day, 15 Hyper 
Beam, 16 Light Screen, 17 Protect, 20 Safeguard, 21 
Frustration, 22 Solar Beam, 27 Return, 32 Double 
Team, 33 Reflect, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 48 Round, 51 Steel Wing, 53 Energy Ball, 54 False Swipe, 65 Shadow Claw, 66 Payback, 
67 Retaliate, 68 Giga Impact, 70 Flash, 75 Swords 
Dance, 76 Struggle Bug, 81 X-Scissor, 84 Poison Jab, 
85 Dream Eater, 86 Grass Knot, 87 Swagger, 88 Sleep Talk, 90 Substitute, 96 Nature Power 
"," 
 Bug Bite (N), Electroweb, False Swipe(N), 
Giga Drain, Heal Bell, Helping Hand, Iron Defense, Knock Off, Magic Coat, Seed Bomb, Signal Beam, 
Sleep Talk, Snore, Synthesis, Worry Seed
"
VENIPEDE,"HP:   3
Attack:  5
Defense:  6
Special Attack: 3
Special Defense: 4
Speed:   6
","[T: Bug, Poison]
[BA: Poison Point, Run]
[AA: Swarm, Vanguard ]
[HA: Speed Boost   ]","1: Venipede  
2: Whirlipede Minimum 15  
3: Scolipede Minimum 30   
","Height: 1’ 4”
Weight: 11.7 lbs.","Gender Ratio: 50%
Egg Group: Bug
Average Hatch Rate: 10 Days   
",Herbivore,Forest,"Overland 5
Swim 1
Jump 2/2
Power 1

 Naturewalk (Grassland, Forest)
Wallclimber
Un-derdog","
Athl 3d6
Acro 1d6
Combat 2d6
Stealth 3d6
Percep 2d6
Focus 2d6"," 1  Defense Curl - Normal
 5  Poison Sting - Poison
 8  Screech - Normal
 12  Pursuit - Dark
 15  Protect - Normal
 19  Poison Tail - Poison
 22  Bug Bite - Bug
 26  Venoshock - Poison
 29  Agility - Psychic
 33  Steamroller - Bug
 36  Toxic - Poison
 40  Rock Climb - Normal
 43  Double-Edge - Normal"," 06 Toxic, 09 Venoshock, 10 Hidden Power, 
11 Sunny Day, 17 Protect, 21 Frustration, 22 Solar Beam, 27 Return, 32 Double Team, 36 Sludge Bomb, 42 Facade, 44 Rest, 45 Attract, 48 Round, 66 Payback, 74 Gyro Ball, 76 Struggle Bug, 83 Infestation, 84 Poi-son Jab, 87 Swagger, 88 Sleep Talk, 90 Substitute, 94 Rock Smash
Egg Move List
 Pin Missile, Rock Climb, Spikes, Take Down, 
Toxic Spikes, Twineedle
"," 
 Bug Bite, Endeavor, Iron Defense, Rollout(N), 
Sleep Talk, Snore
"
WHIRLIPEDE,"HP:   4
Attack:  6
Defense:  10
Special Attack: 4
Special Defense: 8
Speed:   5
","[T: Bug, Poison]
[BA: Poison Point, Run]
[AA: Swarm, Vanguard ]
[HA: Speed Boost   ]","1: Venipede  
2: Whirlipede Minimum 15  
3: Scolipede Minimum 30   
","Height: 3’ 11”
Weight: 129 lbs.","Gender Ratio: 50%
Egg Group: Bug

",Herbivore,Forest,"Overland 4
Swim 2
Jump 1/1
Power 3

 Naturewalk (Grassland, Forest)
Underdog","
Athl 3d6
Acro 1d6
Combat 2d6
Stealth 3d6+2
Percep 3d6
Focus 3d6+2"," 5  Poison Sting - Poison
 8  Screech - Normal
 12  Pursuit - Dark
 15  Protect - Normal
 19  Poison Tail - Poison
 22  Iron Defense - Steel
 23  Bug Bite - Bug
 28  Venoshock - Poison
 32  Agility - Psychic
 37  Steamroller - Bug
 41  Toxic - Poison
 46  Rock Climb - Normal
 50  Double-Edge - Normal","  06 Toxic, 09 Venoshock, 10 Hidden Power, 
11 Sunny Day, 17 Protect, 21 Frustration, 22 Solar Beam, 27 Return, 32 Double Team, 36 Sludge Bomb, 42 Facade, 44 Rest, 45 Attract, 48 Round, 66 Pay-back, 74 Gyro Ball, 76 Struggle Bug, 83 Infestation, 84 Poison Jab, 87 Swagger, 88 Sleep Talk, 90 Substi-tute, 94 Rock Smash
"," 
 Bug Bite, Endeavor, Iron Defense, 
Rollout(N), Sleep Talk, Snore
"
SCOLIPEDE,"HP:   6
Attack:  9
Defense:  9
Special Attack: 6
Special Defense: 7
Speed:   11
","[T: Bug, Poison]
[BA: Poison Point, Run]
[AA: Swarm, Vanguard ]
[HA: Speed Boost   ]","1: Venipede  
2: Whirlipede Minimum 15  
3: Scolipede Minimum 30   
","Height: 8’ 2”
Weight: 442 lbs.","Gender Ratio: 50%
Egg Group: Bug

",Herbivore,Forest,"
  Overland 8
Swim 4
Jump 2/2
Power 6

Naturewalk (Grassland, Forest)
Wallclimber
Mount-able 1","
Athl 4d6+3
Acro 3d6
Combat 4d6
Stealth 3d6+2
Percep 4d6
Focus 4d6+2"," 5  Poison Sting - Poison
 8  Screech - Normal
 12  Pursuit - Dark
 15  Protect - Normal
 19  Poison Tail - Poison
 23  Bug Bite - Bug
 28  Venoshock - Poison
 30  Baton Pass - Normal
 33  Agility - Psychic
 39  Steamroller - Bug
 44  Toxic - Poison
 50  Rock Climb - Normal
 55  Double-Edge - Normal
 65  Megahorn - Bug","  A1 Cut, A4 Strength, 06 Toxic, 09 Venoshock, 
10 Hidden Power, 11 Sunny Day, 15 Hyper Beam, 17 Protect, 21 Frustration, 22 Solar Beam, 26 Earth-quake, 27 Return, 28 Dig, 32 Double Team, 36 Sludge Bomb, 39 Rock Tomb, 42 Facade, 44 Rest, 45 Attract, 48 Round, 66 Payback, 68 Giga Impact, 74 Gyro Ball, 75 Swords Dance, 76 Struggle Bug, 78 Bulldoze, 80 Rock Slide, 81 X-Scissor, 83 Infestation, 84 Poison Jab, 87 Swagger, 88 Sleep Talk, 90 Substitute, 94 Rock Smash
"," 
 Aqua Tail, Bug Bite, Endeavor, Iron Defense, 
Iron Tail, Megahorn(N), Rollout(N), Sleep Talk, Snatch, Snore, Superpower
"
WURMPLE,"HP:   5
Attack:  5
Defense:  4
Special Attack: 2
Special Defense: 3
Speed:   2
","[T: Bug]
[BA: Shield Dust]
[AA: Silk Threads, Run Away, Poison Point]
[HA: Suction Cups   ]","1: Wurmple  
2: Silcoon Minimum 5 see Split Evolution  
3: Beautifly Minimum 10  2 - Cascoon Minimum 5 see Split Evolution  3 - Dustox Minimum 10   
","Height: 1’ 0”
Weight: 7.9 lbs.","Gender Ratio: 50%
Egg Group: Bug
Average Hatch Rate: 7 Days   
",Herbivore,"Forest
Rainforest","Overland 3
Swim 2
Burrow 1
Jump 1/1

Power 1
Naturewalk (Grassland, Forest)
Threaded
Split Evolution
Wallclimber
Underdog","
Athl 3d6
Acro 1d6
Combat 2d6
Stealth 2d6
Percep 2d6
Focus 3d6"," 1  String Shot - Bug
 1  Tackle - Normal
 5  Poison Sting - Poison
 15  Bug Bite - Bug",,"  Bug Bite, Electroweb, Snore, String Shot 
"
SILCOON,"HP:   5
Attack:  4
Defense:  6
Special Attack: 3
Special Defense: 3
Speed:   2
","[T: Bug]
[BA: Shed Skin]
[AA: Silk Threads, Battle Armor, Overcoat ]
[HA: Sturdy   ]","1: Wurmple  
2: Silcoon Minimum 5  
3: Beautifly Minimum 10   
","Height: 2’ 0”
Weight: 22 lbs.","Gender Ratio: 50%
Egg Group: Bug
",Nullivore,"
 Forest
Rainforest","Overland 1
Swim 1
Jump 1/1
Power 1
Naturewalk (Grassland, Forest)
Threaded
Underdog","
Athl 1d6
Acro 1d6
Combat 2d6
Stealth 2d6
Percep 2d6
Focus 3d6", 5  Harden - Normal,,"  Bug Bite, Electroweb, Iron Defense, String 
Shot
"
BEAUTIFLY,"HP:   6
Attack:  7
Defense:  5
Special Attack: 10
Special Defense: 5
Speed:   7
","[T: Bug, Flying]
[BA: Pride]
[AA: Rivalry, Cruelty, Swarm ]
[HA: Sap Sipper   ]","1: Wurmple  
2: Silcoon Minimum 5  
3: Beautifly Minimum 10   
","Height: 3’ 3”
Weight: 62.6 lbs.","Gender Ratio: 50%
Egg Group: Bug
",Herbivore,"Forest
Rainforest","Overland 2
Swim 2
Sky 9
Jump 1/1
Power 
3
Naturewalk (Grassland, Forest)
Underdog","
Athl 3d6
Acro 3d6
Combat 2d6
Stealth 2d6
Percep 6d6+3
Focus 5d6"," 10  Gust - Flying
 12  Absorb - Grass
 15  Stun Spore - Grass
 17  Morning Sun - Normal
 20  Air Cutter - Flying
 22  Mega Drain - Grass
 25  Silver Wind - Bug
 27  Attract - Normal
 30  Whirlwind - Normal
 32  Giga Drain - Grass
 35  Bug Buzz - Bug
 37  Rage - Normal
 40  Quiver Dance","  06 Toxic, 09 Venoshock, 10 Hidden Power, 
11 Sunny Day, 15 Hyper Beam, 17 Protect, 19 Roost, 20 Safeguard, 21 Frustration, 22 Solar Beam, 27 Return, 29 Psychic, 30 Shadow Ball, 32 Double Team, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 46 Thief, 48 Round, 53 Energy Ball, 62 Acrobat-ics, 68 Giga Impact, 70 Flash, 76 Struggle Bug, 83 Infestation, 87 Swagger, 88 Sleep Talk, 89 U-Turn, 90 Substitute
","
  Air Cutter, Bug Bite, Defog, Double-Edge, 
Electroweb, Giga Drain, Ominous Wind, Roost, Secret Power, Signal Beam, Sleep Talk, Snore, String Shot, Swift, Tailwind, Twister
"
CASCOON,"HP:   5
Attack:  4
Defense:  6
Special Attack: 3
Special Defense: 3
Speed:   2
","[T: Bug]
[BA: Shed Skin]
[AA: Silk Threads, Battle Armor, Overcoat ]
[HA: Sturdy   ]","1: Wurmple  
2: Cascoon Minimum 5  
3: Dustox Minimum 10   
","Height: 2’ 4”
Weight: 25.4 lbs.","Gender Ratio: 50%
Egg Group: Bug
",Nullivore,"Forest
Rainforest","Overland 1
Swim 2
Jump 1/1
Power 1
Naturewalk (Grassland, Forest)
Threaded
Underdog","
Athl 1d6
Acro 1d6
Combat 2d6
Stealth 2d6
Percep 2d6
Focus 3d6", 5  Harden - Normal,,"  Bug Bite,  Electroweb, Iron Defense, String 
Shot 
"
DUSTOX,"HP:   6
Attack:  5
Defense:  7
Special Attack: 5
Special Defense: 9
Speed:   7
","[T: Bug, Poison]
[BA: Shield Dust]
[AA: Compound Eyes, Grass Pelt, Flutter ]
[HA: Effect Spore   ]","1: Wurmple  
2: Cascoon Minimum 5  
3: Dustox Minimum 10   
","Height: 3’ 11”
Weight: 69.7 lbs.","Gender Ratio: 50%
Egg Group: Bug
",Herbivore,"Forest
Rainforest","Overland 2
Swim 2
Sky 9
Jump 1/1
Power 
2
Underdog","Athl 3d6
Acro 3d6
Combat 2d6
Stealth 2d6
Percep 6d6+3
Focus 5d6"," 10  Gust - Flying
 12  Confusion - Psychic
 15  Poison Powder - Poison
 17  Moonlight - Fairy
 20  Venoshock - Poison
 22  Psybeam - Psychic
 25  Silver Wind - Bug
 27  Light Screen - Psychic
 30  Whirlwind - Normal
 32  Toxic - Poison
 35  Bug Buzz - Bug
 37  Protect - Normal
 40  Quiver Dance - Bug","  06 Toxic, 09 Venoshock, 10 Hidden Power, 
11 Sunny Day, 15 Hyper Beam, 16 Light Screen, 17 Protect, 19 Roost, 21 Frustration, 22 Solar Beam, 27 Return, 29 Psychic, 30 Shadow Ball, 32 Double Team, 36 Sludge Bomb, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 46 Thief, 48 Round, 53 Energy Ball, 62 Acrobatics, 68 Giga Impact, 70 Flash, 76 Struggle Bug, 83 Infestation, 87 Swagger, 88 Sleep Talk, 89 U-Turn, 90 Substitute  
","  Air Cutter, Bug Bite, Defog, Double-Edge, 
Electroweb, Giga Drain, Ominous Wind, Roost, Signal Beam, Sleep Talk, Snore, String Shot, Swift, Tailwind, Twister 
"
SCATTERBUG,"HP:   4
Attack:  4
Defense:  4
Special Attack: 3
Special Defense: 3
Speed:   4
","[T: Bug]
[BA: Compound Eyes]
[AA: Shield Dust, Friend Guard, Suction Cups]
[HA: Effect Spore   ]","1: Scatterbug  
2: Spewpa Minimum 5  
3: Vivillon Minimum 10    
","Height: 1’ 00”
Weight: 5.5 lbs.","Gender Ratio: 50%
Egg Group: Bug
Average Hatch Rate: 7 Days
  
",Herbivore,"Forest
Grassland","Overland 3
Swim 2
Jump 0/0
Power 1
Naturewalk (Grassland, Forest)
Threaded
Underdog","
Athl 1d6
Acro 2d6
Combat 1d6
Stealth 3d6+1
Per -
cep 2d6
Focus 2d6"," 1  Tackle - Normal
 1  String Shot - Bug
 5  Stun Spore - Grass
 15  Bug Bite - Bug"," None
Egg Move List
Poison Powder, Rage Powder, Stun Spore
"," 
Bug Bite
"
SPEWPA,"HP:   5
Attack:  2
Defense:  6
Special Attack: 3
Special Defense: 3
Speed:   3
","[T: Bug]
[BA: Compound Eyes]
[AA: Shed Skin, Friend Guard, Wonder Skin]
[HA: Effect Spore   ]","1: Scatterbug  
2: Spewpa Minimum 5  
3: Vivillon Minimum 10    
","Height: 1’ 00”
Weight: 18.5 lbs.","Gender Ratio: 50%
Egg Group: Bug

",Herbivore,"Forest
Grassland","Overland 2
Swim 1
Jump 0/0
Power 1
Naturewalk (Grassland, Forest)
Threaded
Underdog","
Athl 1d6
Acro 1d6
Combat 1d6
Stealth 3d6+2
Per -
cep 3d6
Focus 3d6"," 1  Harden - Normal
 5  Protect - Normal"," None
"," 
Bug Bite, Electroweb, Iron Defense
"
VIVILLON,"HP:   8
Attack:  5
Defense:  5
Special Attack: 9
Special Defense: 5
Speed:   9
","[T: Bug, Flying]
[BA: Compound Eyes]
[AA: Shield Dust, Friend Guard, Covert ]
[HA: Effect Spore   ]","1: Scatterbug  
2: Spewpa Minimum 5  
3: Vivillon Minimum 10    
","Height: 3’ 11”
Weight: 37.5 lbs.","Gender Ratio: 50%
Egg Group: Bug

",Herbivore,"Forest
Grassland","Overland 3
Swim 1
Sky 8
Jump 1/2
Power 1
Na-turewalk (Grassland, Forest)
Threaded
Wallclimber
Underdog","
Athl 3d6
Acro 4d6+2
Combat 2d6
Stealth 2d6
Per -
cep 5d6+2
Focus 4d6"," 10  Struggle Bug - Bug
 17  Psybeam - Psychic
 21  Supersonic - Normal
 25  Draining Kiss - Fairy
 31  Aromatherapy - Grass
 35  Bug Buzz - Bug
 41  Safeguard - Normal
 45  Quiver Dance - Bug
 50  Hurricane - Flying
 55  Powder - Bug"," 04 Calm Mind, 06 Toxic, 10 Hidden Power, 11 Sunny Day, 15 Hyper Beam, 16 Light Screen, 17 Protect, 18 Rain Dance, 19 Roost, 20 Safeguard, 21 Frustration, 22 Solar Beam, 27 Return, 29 Psychic, 32 Double Team, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 46 Thief, 48 Round, 53 Energy Ball, 62 Acrobatics, 68 Giga Impact, 70 Flash, 76 Struggle Bug, 77 Psych Up, 83 Infestation, 85 Dream Eater, 87 Swagger, 88 Sleep Talk, 89 U-Turn, 90 Substitute, 100 Confide
"," 
Bug Bite, Electroweb, Endeavor, Giga Drain, Gust (N), Hold Hands, Light Screen (N), Poison Powder (N), Powder (N), Signal Beam, Sleep Powder (N), Snore, Stun Spore (N), Tailwind
"
PIDGEY,"HP:   4
Attack:  5
Defense:  4
Special Attack: 4
Special Defense: 4
Speed:   6
","[T: Normal, Flying]
[BA: Keen Eye, Tangled Feet]
[AA: Big Pecks, Blow Away]
[HA: Run Away   ]","1: Pidgey  
2: Pidgeotto Minimum 15  
3: Pidgeot Minimum 30   
","Height: 1’ 0”
Weight: 4 lbs.","Gender Ratio: 50%
Egg Group: Flying
Average Hatch Rate: 7 Days   
",Herbivore,"Forest
Urban","Overland 2
Swim 2
Sky 5
Jump 1/1
Power 1
Un-derdog","
Athl 2d6
Acro 3d6
Combat 2d6
Stealth 3d6
Percep 3d6
Focus 2d6"," 1  Tackle - Normal
 5  Sand Attack - Ground
 9  Gust - Flying
 13  Quick Attack - Normal
 17  Whirlwind - Normal
 21  Twister - Dragon
 25  Feather Dance - Flying
 29  Agility - Psychic
 33  Wing Attack - Flying
 37  Roost - Flying
 41  Tailwind - Flying
 45  Mirror Move - Flying
 49  Air Slash - Flying
 53  Hurricane - Flying","  A2 Fly, 06 Toxic, 10 Hidden Power, 11 Sunny 
Day, 17 Protect, 18 Rain Dance, 19 Roost, 21 Frustra-tion, 27 Return, 32 Double Team, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 46 Thief, 48 Round, 51 Steel Wing, 87 Swagger, 88 Sleep Talk, 89 U-Turn, 90 Substitute
Egg Move List
 Air Cutter, Air Slash, Brave Bird, Defog, Feint 
Attack, Foresight, Pursuit, Steel Wing, Uproar   ","  Air Cutter, Defog, Double-Edge, Heat Wave, 
Mud-Slap, Ominous Wind, Pluck, Roost, Sky Attack, Sleep Talk, Snore, Swift, Tailwind, Twister, Uproar, Work Up
"
PIDGEOTTO,"HP:   6
Attack:  6
Defense:  6
Special Attack: 5
Special Defense: 5
Speed:   7
","[T: Normal, Flying]
[BA: Keen Eye, Tangled Feet]
[AA: Big Pecks, Blow Away]
[HA: Competitive   ]","1: Pidgey  
2: Pidgeotto Minimum 15  
3: Pidgeot Minimum 30   
","Height: 3’ 7”
Weight: 66.1 lbs.","Gender Ratio: 50%
Egg Group: Flying
",Carnivore,Forest,"Overland 3
Swim 2
Sky 7
Jump 2/2
Power 3
Un-derdog","Athl 3d6+1
Acro 3d6+2
Combat 3d6
Stealth 2d6+2
Percep 3d6+2
Focus 3d6"," 5  Sand Attack - Ground
 9  Gust - Flying
 13  Quick Attack - Normal
 17  Whirlwind - Normal
 22  Twister - Dragon
 27  Feather Dance - Flying
 32  Agility - Psychic
 37  Wing Attack - Flying
 42  Roost - Flying
 47  Tailwind - Flying
 52  Mirror Move - Flying
 57  Air Slash - Flying
 62  Hurricane - Flying","  A2 Fly, 06 Toxic, 10 Hidden Power, 11 Sunny 
Day, 17 Protect, 18 Rain Dance, 19 Roost, 21 Frus-tration, 27 Return, 32 Double Team, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 46 Thief, 48 Round, 51 Steel Wing, 87 Swagger, 88 Sleep Talk, 89 U-Turn, 90 Substitute
","
 Air Cutter, Defog, Double-Edge, Heat Wave, 
Mud-Slap, Ominous Wind, Pluck, Roost, Sky At-tack, Sleep Talk, Snore, Steel Wing, Swift, Tailwind, Twister, Uproar, Work Up
"
PIDGEOT,"HP:   8
Attack:  8
Defense:  8
Special Attack: 7
Special Defense: 7
Speed:   10
","[T: Normal, Flying]
[BA: Keen Eye, Tangled Feet]
[AA: Rocket, Blow Away]
[HA: Competitive   ]","1: Pidgey  
2: Pidgeotto Minimum 15  
3: Pidgeot Minimum 30   
","Height: 4’ 11”
Weight: 87.1 lbs.","Gender Ratio: 50%
Egg Group: Flying
",Carnivore,Forest,"Overland 4
Swim 3
Sky 9
Jump 3/3
Power 5
Guster
Mountable 1","
Athl 4d6+2
Acro 4d6+1
Combat 4d6+1
Stealth 2d6
Percep 4d6+3
Focus 4d6"," 5  Sand Attack - Ground
 9  Gust - Flying
 13  Quick Attack - Normal
 17  Whirlwind - Normal
 22  Twister - Dragon
 27  Feather Dance - Flying
 32  Agility - Psychic
 38  Wing Attack - Flying
 44  Roost - Flying
 50  Tailwind - Flying
 56  Mirror Move - Flying
 62  Air Slash - Flying
 68  Hurricane - Flying","  A2 Fly, 06 Toxic, 10 Hidden Power, 11 Sunny 
Day, 15 Hyper Beam, 17 Protect, 18 Rain Dance, 19 Roost, 21 Frustration, 27 Return, 32 Double Team, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 46 Thief, 48 Round, 51 Steel Wing, 68 Giga Impact, 87 Swagger, 88 Sleep Talk, 89 U-Turn, 90 Substitute   
"," Air Cutter, Defog, Double-Edge, Heat Wave, 
Mud-Slap, Ominous Wind, Pluck, Roost, Sky Attack, Sleep Talk, Snore, Steel Wing, Swift, Tailwind, Twist-er, Uproar, Work Up
"
STARLY,"HP:   4
Attack:  6
Defense:  3
Special Attack: 3
Special Defense: 3
Speed:   6
","[T: Normal, Flying]
[BA: Keen Eye, Intimidate]
[AA: Big Pecks, Run Up]
[HA: Reckless   ]","1: Starly  
2: Staravia Minimum 15  
3: Staraptor Minimum 30   
","Height: 1’ 0”
Weight: 4.4 lbs.","Gender Ratio: 50%
Egg Group: Flying
Average Hatch Rate: 7 Days   
",Herbivore,"Forest
Grassland
Urban","Overland 2
Swim 1
Sky 5
Jump 1/1
Power 1
Un-derdog","
Athl 2d6
Acro 2d6+1
Combat 2d6
Stealth 3d6
Per -
cep 3d6
Focus 2d6"," 1  Growl - Normal
 1  Tackle - Normal
 5  Quick Attack - Normal
 9  Wing Attack - Flying
 13  Double Team - Normal
 17  Endeavor - Normal
 21  Whirlwind - Normal
 25  Aerial Ace - Flying
 29  Take Down - Normal
 33  Agility - Psychic
 37  Brave Bird - Flying
 41  Final Gambit - Normal","  A2 Fly, 06 Toxic, 10 Hidden Power, 11 Sunny 
Day, 17 Protect, 18 Rain Dance, 19 Roost, 21 Frustra-tion, 27 Return, 32 Double Team, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 46 Thief, 48 Round, 49 Echoed Voice, 51 Steel Wing, 87 Swagger, 88 Sleep Talk, 89 U-Turn, 90 Substitute    
Egg Move List Astonish, Detect, Double-Edge, Feather 
Dance, Foresight, Fury Attack, Mirror Move, Pursuit, Revenge, Roost, Sand Attack, Steel Wing, Uproar  ","  Air Cutter, Defog, Endeavor, Heat Wave, 
Mud-Slap, Ominous Wind, Pluck, Roost, Sleep Talk, Snore, Swift, Tailwind, Twister, Work Up
"
STARAVIA,"HP:   6
Attack:  8
Defense:  5
Special Attack: 4
Special Defense: 4
Speed:   8
","[T: Normal, Flying]
[BA: Keen Eye, Intimidate]
[AA: Big Pecks, Run Up]
[HA: Reckless   ]","1: Starly  
2: Staravia Minimum 15  
3: Staraptor Minimum 30   
","Height: 2’ 0”
Weight: 34.2 lbs.","Gender Ratio: 50%
Egg Group: Flying
",Carnivore,"Forest
Grassland
Urban","Overland 3
Swim 2
Sky 7
Jump 2/2
Power 3
Un-derdog","
Athl 3d6+1
Acro 3d6+1
Combat 3d6+1
Stealth 2d6+1
Percep 3d6+1
Focus 3d6"," 5  Quick Attack - Normal
 9  Wing Attack - Flying
 13  Double Team - Normal
 18  Endeavor - Normal
 23  Whirlwind - Normal
 28  Aerial Ace - Flying
 33  Take Down - Normal
 38  Agility - Psychic
 43  Brave Bird - Flying
 48  Final Gambit - Normal","  A2 Fly, 06 Toxic, 10 Hidden Power, 11 Sunny 
Day, 17 Protect, 18 Rain Dance, 19 Roost, 21 Frus-tration, 27 Return, 32 Double Team, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 46 Thief, 48 Round, 49 Echoed Voice, 51 Steel Wing, 67 Retaliate, 87 Swagger, 88 Sleep Talk, 89 U-Turn, 90 Substitute
","
 Air Cutter, Defog, Endeavor, Heat Wave, 
Mud-Slap, Ominous Wind, Pluck, Roost, Sleep Talk, Snore, Steel Wing, Swift, Tailwind, Twister, Work Up
"
STARAPTOR,"HP:   9
Attack:  12
Defense:  7
Special Attack: 5
Special Defense: 5
Speed:   10
","[T: Normal, Flying]
[BA: Keen Eye, Intimidate]
[AA: Big Pecks, Run Up]
[HA: Reckless   ]","1: Starly  
2: Staravia Minimum 15  
3: Staraptor Minimum 30   
","Height: 3’ 11”
Weight: 54.9 lbs.","Gender Ratio: 50%
Egg Group: Flying
",Carnivore,"Forest
Grassland","Overland 4
Swim 3
Sky 10
Jump 3/3
Power 5
Guster
Mountable 1","Athl 4d6+2
Acro 4d6+1
Combat 4d6+2
Stealth 2d6
Percep 4d6+2
Focus 4d6"," 5  Quick Attack - Normal
 9  Wing Attack - Flying
 13  Double Team - Normal
 18  Endeavor - Normal
 23  Whirlwind - Normal
 28  Aerial Ace - Flying
 33  Take Down - Normal
 34  Close Combat - Fighting
 41  Agility - Psychic
 49  Brave Bird - Flying
  57  Final Gambit - Normal","  A2 Fly, 06 Toxic, 10 Hidden Power, 11 Sunny 
Day, 15 Hyper Beam, 17 Protect, 18 Rain Dance, 19 Roost, 21 Frustration, 27 Return, 32 Double Team, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 46 Thief, 48 Round, 49 Echoed Voice, 51 Steel Wing, 67 Retaliate, 68 Giga Impact, 87 Swagger, 88 Sleep Talk, 89 U-Turn, 90 Substitute
","
 Air Cutter, Defog, Endeavor, Heat Wave, 
Mud-Slap, Ominous Wind, Pluck, Roost, Sky Attack, Sleep Talk, Snore, Steel Wing, Swift, Tailwind, Twist-er, Work Up
"
PIDOVE,"HP:   5
Attack:  6
Defense:  5
Special Attack: 4
Special Defense: 3
Speed:   4
","[T: Normal, Flying]
[BA: Big Pecks, Super Luck]
[AA: Rivalry, Klutz ]
[HA: Lunchbox   ]","1: Pidove  
2: Tranquill Minimum 15  
3: Unfezant Minimum 30    
","Height: 1’ 0”
Weight: 4.6 lbs.","Gender Ratio: 50%
Egg Group: Flying
Average Hatch Rate: 10 Days   
",Herbivore,"Forest
Grassland
Urban","Overland 2
Swim 1
Sky 5
Jump 1/1
Power 1
Guster
Underdog","
Athl 2d6
Acro 2d6+1
Combat 2d6
Stealth 3d6
Percep 3d6
Focus 2d6"," 1  Gust - Flying
 4  Growl - Normal
 8  Leer - Normal
 11  Quick Attack - Normal
 15  Air Cutter - Flying
 18  Roost - Flying
 22  Detect - Fighting
 25  Taunt - Dark
 29  Air Slash - Flying
 32  Razor Wind - Normal
 36  Feather Dance - Flying
 39  Swagger - Normal
 43  Facade - Normal
 46  Tailwind - Flying
 50  Sky Attack - Flying"," A2 Fly, 06 Toxic, 10 Hidden Power, 11 Sunny 
Day, 12 Taunt, 17 Protect, 18 Rain Dance, 19 Roost, 21 Frustration, 27 Return, 32 Double Team, 40 Aer -
ial Ace, 42 Facade, 44 Rest, 45 Attract, 48 Round, 49 Echoed Voice, 51 Steel Wing, 87 Swagger, 88 Sleep Talk, 89 U-Turn, 90 Substitute
Egg Move List
 Bestow, Hypnosis, Lucky Chant, Morning 
Sun, Night Slash, Steel Wing, Uproar, Wish  
"," 
 Heat Wave, Pluck, Roost, Sky Attack, Sleep 
Talk, Snore, Tailwind, Uproar, Work Up
"
